Country Name,Series Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
South Africa,"School enrollment, secondary (% gross)",74.31938171,73.9493103,74.44502258,75.53578186,78.29666138,80.42034149,83.78334808,85.53662872,84.04734802,85.96054077,86.59220456,88.94422913,92.16251373,..,101.1632004,104.622813,103.8559875,105.6231689,101.3996129,103.7891203,103.5011781,106.443304,104.5350665,104.1334807
South Africa,"Life expectancy at birth, total (years)",58.368,57.161,55.58,54.245,53.963,53.914,54.22,54.948,55.982,57.413,58.886,60.602,61.737,62.388,63.184,64.053,64.749,65.422,65.726,66.071,65.15,62.01,65.454,66.139
South Africa,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),47.9,..,..,..,..,42.1,..,..,30.3,..,29.5,..,..,..,31.2,..,..,..,..,..,..,..,..,..
South Africa,Gini index,57.8,..,..,..,..,64.8,..,..,63,..,63.4,..,..,..,63,..,..,..,..,..,..,..,..,..
South Africa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",22.714,22.605,22.547,22.629,22.538,22.461,22.324,22.287,22.407,23.523,24.683,24.639,24.727,24.561,24.89,25.149,26.536,27.035,26.906,28.468,29.217,34.007,33.268,32.098
South Africa,"Inflation, consumer prices (annual %)",5.338959136,5.70189483,9.494713781,5.679424141,-0.6920394379,2.062853082,3.243907654,6.177812148,9.90998456,7.238095238,4.06749556,5.000853388,5.737971391,5.780169101,6.132829531,4.518690949,6.602908424,5.186186555,4.509872649,4.102850755,3.232388316,4.618745449,7.039872725,6.075243846
Nigeria,GDP per capita (current US$),547.3182989,566.4282318,712.1648521,763.3887454,962.4810419,1211.377035,1599.538916,1815.526975,2154.105435,1820.486339,2202.25673,2418.41317,2633.197347,2872.790834,3088.721313,2585.733607,2070.412734,1876.340271,2057.879446,2265.155209,2019.657063,2017.274865,2139.374785,1596.636961
Nigeria,GDP growth (annual %),5.015934759,5.917684649,15.32915574,7.347194968,9.250558229,6.438516525,6.059428032,6.591130361,6.764472778,8.036925101,8.005655916,5.307924203,4.230061175,6.671335393,6.309718655,2.652693295,-1.616868949,0.8058866191,1.922757342,2.208429277,-1.794253083,3.647186541,3.251681408,2.860214991
Nigeria,"School enrollment, secondary (% gross)",23.96134949,26.39998055,28.87380981,..,33.94812012,33.7729187,33.12628174,30.42320061,33.61127853,37.13814163,41.78379822,43.02399063,44.45579147,52.79673004,42.78215027,43.82469177,39.30680847,..,40.48852921,..,44.12208939,45.44493866,..,46.89315033
Nigeria,"Life expectancy at birth, total (years)",47.143,47.549,48.02,48.618,49.148,49.538,49.876,50.381,50.748,51.08,51.315,51.49,51.688,51.827,51.94,51.939,52.189,52.397,52.669,53.009,53.072,53.455,54.079,54.462
Nigeria,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),..,..,..,51.1,..,..,..,..,..,..,38.5,..,37.4,..,..,35.8,..,..,34.2,..,..,..,41.8,..
Nigeria,Gini index,..,..,..,40.1,..,..,..,..,..,..,35.7,..,35.5,..,..,35.9,..,..,35.1,..,..,..,33.9,..
Nigeria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.963,3.91,3.681,3.648,3.601,3.734,3.756,3.799,3.795,3.766,3.746,3.77,3.76,3.711,3.902,4.135,4.499,4.828,5.067,5.206,5.742,5.45,3.821,3.074
Nigeria,"Inflation, consumer prices (annual %)",..,..,..,..,..,..,8.22522152,5.388007969,11.58107517,12.53782773,13.74005214,10.82613719,12.2242413,8.495518383,8.04741088,9.00943498,15.69681264,16.50226621,12.09510652,11.39642234,13.24602343,16.95284572,18.84718778,24.6595502
Viet Nam,GDP per capita (current US$),404.0297841,419.2056776,445.1328618,497.1170892,565.4522846,710.74676,807.7566451,925.6403383,1163.831958,1226.169761,1683.161824,1950.925042,2185.117677,2359.517365,2546.384645,2577.568853,2735.060438,2956.109921,3222.310031,3440.900254,3534.039535,3704.193559,4147.697772,4323.35032
Viet Nam,GDP growth (annual %),6.787316405,6.192893312,6.320820992,6.899063491,7.536410609,7.547247729,6.977954811,7.129504486,5.661771209,5.39789754,6.423244822,6.413168897,5.504544704,5.55351081,6.422243121,6.987154306,6.690008927,6.940190374,7.465006856,7.359262701,2.865413209,2.553728526,8.537500468,5.065023915
Viet Nam,"School enrollment, secondary (% gross)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.45483413,90.15833471,91.07251981,92.83777108,94.65462168,93.19213895,92.76902092,93.41234341,..
Viet Nam,"Life expectancy at birth, total (years)",72.746,72.984,73.138,73.236,73.062,73.198,73.293,73.385,73.455,73.525,73.611,73.713,73.762,73.821,73.886,73.955,73.984,74.026,74.1,74.211,75.383,74.145,74.502,74.588
Viet Nam,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),..,..,43.3,..,30.9,..,23.7,..,17.6,..,5.2,..,3.7,..,3.4,..,2.5,..,2.2,..,1.3,..,1.6,..
Viet Nam,Gini index,..,..,37,..,36.8,..,35.8,..,35.6,..,39.3,..,35.6,..,34.8,..,35.3,..,35.7,..,36.8,..,36.1,..
Viet Nam,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.26,2.76,2.12,2.25,2.14,2.078,2.046,2.026,1.889,1.737,1.114,0.999,1.027,1.316,1.256,1.848,1.848,1.874,1.161,1.681,2.103,2.385,1.523,1.645
Viet Nam,"Inflation, consumer prices (annual %)",..,..,..,3.234648173,7.754947487,8.284572431,7.418017151,8.344448898,23.11544835,6.7169827,9.207466488,18.67773228,9.094703396,6.592674759,4.084554466,0.6312009052,2.66824817,3.520256888,3.539628059,2.795823675,3.220934367,1.834715548,3.1565075,3.252892827
